"zpid","streetaddress","zipcode","city","state","latitude","longitude","price","bathrooms","bedrooms","livingarea","rentzestimate","homedetailurl"
24812652,"5101 Harbord Dr","94618","Oakland","CA","37.83727300","-122.22722000","5200.00","2.00",3,"2470.00","6499.00","https://www.zillow.com/homedetails/5101-Harbord-Dr-Oakland-CA-94618/24812652_zpid/"
15467798,"1540 Edgeworth Ave","94015","Daly City","CA","37.68892000","-122.47463000","3695.00","1.00",2,"1250.00","3298.00","https://www.zillow.com/homedetails/1540-Edgeworth-Ave-Daly-City-CA-94015/15467798_zpid/"
2124029952,"820 Ashbury St APT 5","94117","San Francisco","CA","37.76676600","-122.44598400","3150.00","1.00",1,NULL,"2999.00","https://www.zillow.com/homedetails/820-Ashbury-St-APT-5-San-Francisco-CA-94117/2124029952_zpid/"
249664524,"216 Summit Way","94132","San Francisco","CA","37.71555700","-122.47697000","4950.00","2.00",3,"1547.00","4674.00","https://www.zillow.com/homedetails/216-Summit-Way-San-Francisco-CA-94132/249664524_zpid/"
15477941,"184 Longview Dr","94015","Daly City","CA","37.66188000","-122.48976000","3799.00","2.00",3,"1250.00","3999.00","https://www.zillow.com/homedetails/184-Longview-Dr-Daly-City-CA-94015/15477941_zpid/"
25044779,"4800 Selkirk St","94538","Fremont","CA","37.53115500","-121.98173500","3695.00","2.00",3,"1148.00","3499.00","https://www.zillow.com/homedetails/4800-Selkirk-St-Fremont-CA-94538/25044779_zpid/"
15167764,"73 Naples St","94112","San Francisco","CA","37.72741000","-122.42590000","3900.00","2.00",3,NULL,"4344.00","https://www.zillow.com/homedetails/73-Naples-St-San-Francisco-CA-94112/15167764_zpid/"
19686746,"1802 Arbor Dr","95125","San Jose","CA","37.30125400","-121.88287000","3200.00","1.00",2,"891.00","2999.00","https://www.zillow.com/homedetails/1802-Arbor-Dr-San-Jose-CA-95125/19686746_zpid/"
24802528,"415 Ashton Ave","94603","Oakland","CA","37.73545000","-122.18691000","2875.00","1.00",2,"1122.00","2870.00","https://www.zillow.com/homedetails/415-Ashton-Ave-Oakland-CA-94603/24802528_zpid/"
2052863235,"2674 73rd Ave","94605","Oakland","CA","37.76784500","-122.17400000","3200.00","1.00",3,"1300.00",NULL,"https://www.zillow.com/homedetails/2674-73rd-Ave-Oakland-CA-94605/2052863235_zpid/"
24770220,"3240 Delaware St","94602","Oakland","CA","37.79421200","-122.20423000","5990.00","3.00",6,"1804.00","4500.00","https://www.zillow.com/homedetails/3240-Delaware-St-Oakland-CA-94602/24770220_zpid/"
122160685,"1327 Martin Luther King Dr","94541","Hayward","CA","37.66111400","-122.09007000","4125.00","3.50",4,"1982.00","4149.00","https://www.zillow.com/homedetails/1327-Martin-Luther-King-Dr-Hayward-CA-94541/122160685_zpid/"
18531523,"1339 Mariposa St","94804","Richmond","CA","37.91362400","-122.32124000","3000.00","1.00",2,"956.00","2976.00","https://www.zillow.com/homedetails/1339-Mariposa-St-Richmond-CA-94804/18531523_zpid/"
